"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 04/18/2024",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
4.18,NVDA,"NVIDIA CORP",2379504,846.71,"82,044.00","69,467,475.24"
3.85,META,"META PLATFORMS INC",B7TL820,501.80,"127,581.00","64,020,145.80"
3.66,NFLX,"NETFLIX INC",2857817,610.56,"99,560.00","60,787,353.60"
3.39,AMZN,"AMAZON.COM INC",2000019,179.22,"314,602.00","56,382,970.44"
3.33,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,38.87,"1,423,443.00","55,326,984.98"
3.14,GOOGL,"ALPHABET INC-CL A",BYVY8G0,156.01,"333,939.00","52,097,823.39"
3.11,QCOM,"QUALCOMM INC",2714923,161.44,"319,762.00","51,622,377.28"
3.08,IBM,IBM,2005973,181.47,"282,331.00","51,234,606.57"
3.06,ORCL,"ORACLE CORP",2661568,116.00,"438,869.00","50,908,804.00"
3.04,AVGO,"BROADCOM INC",BDZ78H9,"1,258.99","40,145.00","50,542,153.55"
3.04,"005930 KS","SAMSUNG ELECTRON",6771720,57.98,"870,356.00","50,460,932.74"
3.00,MSFT,"MICROSOFT CORP",2588173,404.27,"123,116.00","49,772,105.32"
2.90,CRM,"SALESFORCE INC",2310525,271.92,"177,146.00","48,169,540.32"
2.88,NOW,"SERVICENOW INC",B80NXX8,731.36,"65,331.00","47,780,480.16"
2.75,BABA,"ALIBABA GRP-ADR",BP41ZD1,68.88,"663,292.00","45,687,552.96"
2.75,CSCO,"CISCO SYSTEMS INC",2198163,48.11,"948,281.00","45,621,798.91"
2.59,"SIE GR","SIEMENS AG-REG",5727973,187.03,"229,753.00","42,969,745.29"
2.53,AAPL,"APPLE INC",2046251,167.04,"251,573.00","42,022,753.92"
2.53,ACN,"ACCENTURE PLC-CL A",B4BNMY3,316.00,"132,839.00","41,977,124.00"
2.52,UBER,"UBER TECHNOLOGIES INC",BK6N347,71.30,"588,157.00","41,935,594.10"
2.34,ADBE,"ADOBE INC",2008154,473.18,"82,211.00","38,900,600.98"
2.12,TSLA,"TESLA INC",B616C79,149.93,"234,897.00","35,218,107.21"
2.12,MU,"MICRON TECHNOLOGY INC",2588184,111.93,"314,532.00","35,205,566.76"
2.12,INTC,"INTEL CORP",2463247,35.04,"1,004,003.00","35,180,265.12"
1.65,"000660 KS","SK HYNIX INC",6450267,132.78,"206,546.00","27,425,132.60"
1.44,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,69.51,"344,518.00","23,947,446.18"
1.36,SNPS,"SYNOPSYS INC",2867719,519.71,"43,342.00","22,525,270.82"
1.33,CDNS,"CADENCE DESIGN SYS INC",2302232,285.90,"77,451.00","22,143,240.90"
1.21,"3690 HK","MEITUAN-CLASS B",BGJW376,12.48,"1,604,215.00","20,023,113.72"
1.18,TRI,"THOMSON REUTERS CORP",BNBXPB4,150.79,"129,470.00","19,522,781.30"
0.97,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,219.35,"73,461.00","16,113,670.35"
0.92,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,255.64,"59,926.00","15,319,482.64"
0.88,SMCI,"SUPER MICRO COMPUTER INC",B1VQR35,928.48,"15,819.00","14,687,625.12"
0.84,FTNT,"FORTINET INC",B5B2106,64.03,"218,404.00","13,984,408.12"
0.74,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,32.91,"372,946.00","12,273,503.12"
