"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 09/08/2025",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.59,GOOGL,"ALPHABET INC-CL A",BYVY8G0,234.04,"730,068.00","170,865,114.72"
3.55,AVGO,"BROADCOM INC",BDZ78H9,345.65,"489,000.00","169,022,850.00"
3.36,BABA,"ALIBABA GRP-ADR",BP41ZD1,141.20,"1,132,767.00","159,946,700.40"
3.30,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,79.25,"1,982,218.00","157,082,674.34"
3.24,AAPL,"APPLE INC",2046251,237.88,"648,438.00","154,250,431.44"
3.08,META,"META PLATFORMS INC",B7TL820,752.30,"194,686.00","146,462,277.80"
3.08,NFLX,"NETFLIX INC",2857817,"1,244.76","117,578.00","146,356,391.28"
3.06,"005930 KS","SAMSUNG ELECTRON",6771720,50.41,"2,885,264.00","145,435,396.85"
3.04,TSLA,"TESLA INC",B616C79,346.40,"417,032.00","144,459,884.80"
3.01,AMZN,"AMAZON.COM INC",2000019,235.84,"608,195.00","143,436,708.80"
3.00,TSM,"TAIWAN SEMIC-ADR",2113382,247.19,"577,686.00","142,798,202.34"
2.95,PLTR,"PALANTIR TECHN-A",BN78DQ4,156.10,"897,828.00","140,150,950.80"
2.88,MSFT,"MICROSOFT CORP",2588173,498.20,"274,812.00","136,911,338.40"
2.88,NVDA,"NVIDIA CORP",2379504,168.31,"813,142.00","136,859,930.02"
2.87,ORCL,"ORACLE CORP",2661568,238.48,"573,360.00","136,734,892.80"
2.84,CSCO,"CISCO SYSTEMS INC",2198163,66.88,"2,023,112.00","135,305,730.56"
2.79,AMD,"ADVANCED MICRO DEVICES",2007849,151.41,"875,307.00","132,530,232.87"
2.75,CRM,"SALESFORCE INC",2310525,252.27,"519,214.00","130,982,115.78"
2.65,IBM,IBM,2005973,256.09,"492,536.00","126,133,544.24"
2.28,"SIE GR","SIEMENS AG-REG",5727973,270.90,"400,128.00","108,393,553.43"
2.07,UBER,"UBER TECHNOLOGIES INC",BK6N347,94.36,"1,045,603.00","98,663,099.08"
2.04,NOW,"SERVICENOW INC",B80NXX8,939.33,"103,581.00","97,296,740.73"
1.87,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,146.22,"609,124.00","89,066,111.28"
1.85,QCOM,"QUALCOMM INC",2714923,160.24,"548,959.00","87,965,190.16"
1.77,APP,"APPLOVIN CORP-CLASS A",BMV3LG4,547.04,"153,902.00","84,190,550.08"
1.67,ACN,"ACCENTURE PLC-CL A",B4BNMY3,255.57,"311,338.00","79,568,652.66"
1.60,ADBE,"ADOBE INC",2008154,358.66,"212,543.00","76,230,672.38"
1.55,MU,"MICRON TECHNOLOGY INC",2588184,131.46,"559,337.00","73,530,442.02"
1.53,"000660 KS","SK HYNIX INC",6450267,199.18,"365,034.00","72,707,570.29"
1.18,SNPS,"SYNOPSYS INC",2867719,609.08,"92,542.00","56,365,481.36"
1.12,INTC,"INTEL CORP",2463247,24.48,"2,179,509.00","53,354,380.32"
1.03,CDNS,"CADENCE DESIGN SYS INC",2302232,360.64,"136,264.00","49,142,248.96"
0.82,TRI,"THOMSON REUTERS CORP",BNBXPB4,173.56,"225,283.00","39,100,117.48"
0.79,SNOW,"SNOWFLAKE INC",BN134B7,226.52,"166,530.00","37,722,375.60"
0.77,"3690 HK","MEITUAN-CLASS B",BGJW376,13.09,"2,793,215.00","36,563,220.91"
0.65,FTNT,"FORTINET INC",B5B2106,80.36,"382,337.00","30,724,601.32"
0.60,MRVL,"MARVELL TECHNOLOGY INC",BNKJSM5,66.00,"430,893.00","28,438,938.00"
0.60,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,225.50,"125,905.00","28,391,577.50"
0.54,"6702 JP","FUJITSU LIMITED",6356945,24.68,"1,033,973.00","25,514,301.09"
0.52,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,231.81,"107,387.00","24,893,380.47"
0.52,"EXPN LN","EXPERIAN PLC",B19NLV4,53.89,"457,153.00","24,638,062.48"
0.52,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,37.67,"651,247.00","24,533,722.71"
0.47,"5803 JP","FUJIKURA LTD",6356707,91.74,"242,574.00","22,253,667.02"
0.46,ZS,"ZSCALER INC",BZ00V34,281.60,"78,101.00","21,993,241.60"
0.46,DDOG,"DATADOG INC - CLASS A",BKT9Y49,136.44,"158,998.00","21,693,687.12"
0.43,"6701 JP","NEC CORP",6640400,30.17,"680,873.00","20,543,005.88"
0.42,STX,"SEAGATE TECHNOLO",BKVD2N4,189.24,"105,476.00","19,960,278.24"
0.37,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,78.16,"228,016.00","17,821,730.56"
0.37,CYBR,"CYBERARK SOFTWAR",BQT3XY6,468.80,"37,150.00","17,415,920.00"
0.36,SOUN,"SOUNDHOUND AI INC-A",BLDBS68,15.29,"1,131,359.00","17,298,479.11"
0.36,CRWV,"COREWEAVE INC-CL A",BTTRKN7,93.55,"184,545.00","17,264,184.75"
0.36,AMBA,"AMBARELLA INC",B7KH3G6,83.99,"203,483.00","17,090,537.17"
0.36,STNE,"STONECO LTD-A",BGKG6M3,17.26,"981,094.00","16,933,682.44"
0.34,HUT,"HUT 8 CORP",BQQ8816,25.48,"637,818.00","16,251,602.64"
0.34,BIDU,"BAIDU INC - SPON ADR",B0FXT17,108.65,"147,974.00","16,077,375.10"
0.33,HPE,"HEWLETT PACKA",BYVYWS0,23.50,"665,817.00","15,646,699.50"
0.33,"4755 JP","RAKUTEN GROUP INC",6229597,6.16,"2,521,198.00","15,522,546.25"
0.32,"WKL NA","WOLTERS KLUWER",5671519,129.25,"119,262.00","15,414,987.84"
0.31,"TIETO FH","TIETOEVRY OYJ",5479702,18.69,"795,743.00","14,869,421.01"
0.30,ERIC,"ERICSSON (LM) TEL-SP ADR",2031730,7.90,"1,804,921.00","14,258,875.90"
