"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 04/10/2024",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
4.11,NVDA,"NVIDIA CORP",2379504,870.39,"79,900.00","69,544,161.00"
3.82,META,"META PLATFORMS INC",B7TL820,519.83,"124,231.00","64,579,000.73"
3.55,NFLX,"NETFLIX INC",2857817,618.58,"97,014.00","60,010,920.12"
3.37,AMZN,"AMAZON.COM INC",2000019,185.95,"306,428.00","56,980,286.60"
3.28,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,40.10,"1,383,243.00","55,473,081.37"
3.15,QCOM,"QUALCOMM INC",2714923,170.86,"311,454.00","53,215,030.44"
3.09,"005930 KS","SAMSUNG ELECTRON",6771720,61.70,"847,710.00","52,307,307.82"
3.08,ORCL,"ORACLE CORP",2661568,121.75,"427,479.00","52,045,568.25"
3.06,CRM,"SALESFORCE INC",2310525,299.62,"172,590.00","51,711,415.80"
3.06,AVGO,"BROADCOM INC",BDZ78H9,"1,322.37","39,073.00","51,668,963.01"
3.03,IBM,IBM,2005973,186.04,"274,961.00","51,153,744.44"
3.00,GOOGL,"ALPHABET INC-CL A",BYVY8G0,156.14,"325,229.00","50,781,256.06"
3.00,MSFT,"MICROSOFT CORP",2588173,423.26,"119,900.00","50,748,874.00"
2.89,NOW,"SERVICENOW INC",B80NXX8,769.19,"63,589.00","48,912,022.91"
2.85,BABA,"ALIBABA GRP-ADR",BP41ZD1,74.59,"646,006.00","48,185,587.54"
2.69,CSCO,"CISCO SYSTEMS INC",2198163,49.21,"923,625.00","45,451,586.25"
2.52,UBER,"UBER TECHNOLOGIES INC",BK6N347,74.35,"572,881.00","42,593,702.35"
2.48,ACN,"ACCENTURE PLC-CL A",B4BNMY3,324.40,"129,355.00","41,962,762.00"
2.48,"SIE GR","SIEMENS AG-REG",5727973,187.52,"223,723.00","41,952,423.02"
2.43,AAPL,"APPLE INC",2046251,167.78,"245,007.00","41,107,274.46"
2.32,TSLA,"TESLA INC",B616C79,171.76,"228,733.00","39,287,180.08"
2.31,ADBE,"ADOBE INC",2008154,487.22,"80,067.00","39,010,243.74"
2.21,MU,"MICRON TECHNOLOGY INC",2588184,122.20,"306,358.00","37,436,947.60"
2.15,INTC,"INTEL CORP",2463247,37.20,"977,873.00","36,376,875.60"
1.61,"000660 KS","SK HYNIX INC",6450267,135.00,"201,186.00","27,159,404.66"
1.43,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,71.98,"335,540.00","24,152,169.20"
1.40,SNPS,"SYNOPSYS INC",2867719,561.23,"42,270.00","23,723,192.10"
1.36,CDNS,"CADENCE DESIGN SYS INC",2302232,304.59,"75,441.00","22,978,574.19"
1.23,"3690 HK","MEITUAN-CLASS B",BGJW376,13.25,"1,564,015.00","20,721,247.40"
1.14,TRI,"THOMSON REUTERS CORP",BNBXPB4,153.17,"126,120.00","19,317,800.40"
1.02,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,241.08,"71,585.00","17,257,711.80"
0.92,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,266.86,"58,318.00","15,562,741.48"
0.86,FTNT,"FORTINET INC",B5B2106,68.13,"212,642.00","14,487,299.46"
0.83,SMCI,"SUPER MICRO COMPUTER INC",B1VQR35,908.54,"15,417.00","14,006,961.18"
