"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 09/03/2025",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.63,GOOGL,"ALPHABET INC-CL A",BYVY8G0,230.66,"729,713.00","168,315,600.58"
3.34,AAPL,"APPLE INC",2046251,238.47,"648,123.00","154,557,891.81"
3.33,BABA,"ALIBABA GRP-ADR",BP41ZD1,136.45,"1,132,217.00","154,491,009.65"
3.28,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,76.73,"1,981,218.00","152,028,177.47"
3.19,AVGO,"BROADCOM INC",BDZ78H9,302.39,"488,765.00","147,797,648.35"
3.12,"005930 KS","SAMSUNG ELECTRON",6771720,50.13,"2,883,869.00","144,581,832.43"
3.11,NFLX,"NETFLIX INC",2857817,"1,226.18","117,523.00","144,104,352.14"
3.10,META,"META PLATFORMS INC",B7TL820,737.05,"194,591.00","143,423,296.55"
3.06,AMD,"ADVANCED MICRO DEVICES",2007849,162.13,"874,882.00","141,844,618.66"
3.01,TSLA,"TESLA INC",B616C79,334.09,"416,832.00","139,259,402.88"
3.00,PLTR,"PALANTIR TECHN-A",BN78DQ4,154.90,"897,393.00","139,006,175.70"
3.00,MSFT,"MICROSOFT CORP",2588173,505.35,"274,677.00","138,808,021.95"
2.99,NVDA,"NVIDIA CORP",2379504,170.62,"812,747.00","138,670,893.14"
2.96,AMZN,"AMAZON.COM INC",2000019,225.99,"607,900.00","137,379,321.00"
2.95,CSCO,"CISCO SYSTEMS INC",2198163,67.67,"2,022,132.00","136,837,672.44"
2.88,TSM,"TAIWAN SEMIC-ADR",2113382,231.39,"577,406.00","133,605,974.34"
2.87,CRM,"SALESFORCE INC",2310525,256.45,"518,964.00","133,088,317.80"
2.76,ORCL,"ORACLE CORP",2661568,223.45,"573,085.00","128,055,843.25"
2.59,IBM,IBM,2005973,244.10,"492,296.00","120,169,453.60"
2.31,"SIE GR","SIEMENS AG-REG",5727973,267.62,"399,933.00","107,029,119.94"
2.10,UBER,"UBER TECHNOLOGIES INC",BK6N347,92.94,"1,045,098.00","97,131,408.12"
2.05,NOW,"SERVICENOW INC",B80NXX8,919.38,"103,531.00","95,184,330.78"
1.85,QCOM,"QUALCOMM INC",2714923,156.39,"548,694.00","85,810,254.66"
1.84,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,140.22,"608,829.00","85,370,002.38"
1.71,ACN,"ACCENTURE PLC-CL A",B4BNMY3,254.15,"311,188.00","79,088,430.20"
1.62,APP,"APPLOVIN CORP-CLASS A",BMV3LG4,487.35,"153,827.00","74,967,588.45"
1.60,ADBE,"ADOBE INC",2008154,348.50,"212,438.00","74,034,643.00"
1.48,"000660 KS","SK HYNIX INC",6450267,188.54,"364,859.00","68,791,874.66"
1.43,MU,"MICRON TECHNOLOGY INC",2588184,118.72,"559,067.00","66,372,434.24"
1.18,SNPS,"SYNOPSYS INC",2867719,592.12,"92,497.00","54,769,323.64"
1.13,INTC,"INTEL CORP",2463247,24.00,"2,178,454.00","52,282,896.00"
1.02,CDNS,"CADENCE DESIGN SYS INC",2302232,347.32,"136,199.00","47,304,636.68"
