ticker,title,url,time_published,source,summary,sentiment_score,sentiment_label,ticker_sentiment_score,ticker_sentiment_label,relevance_score,category,ai_keywords_found
SNOW,"3 Warren Buffett Stocks That Could Soar 39% to 83% in 2023, According to Wall Street",https://www.fool.com/investing/2022/12/19/warren-buffett-stocks-soar-2023-wall-street/,20221219T105700,Motley Fool,"If analysts are right, better days could be on the way for these beaten-down stocks.",0.067105,Neutral,0.454945,Somewhat-Bullish,0,broad,
SNOW,"Never Mind the FAANG Stocks, Buy the GHOST Stocks Before 2023",https://www.fool.com/investing/2022/12/18/forget-faang-stocks-buy-ghost-stocks-before-2023/,20221218T152100,Motley Fool,"Now is the time to invest in the next generation of disrupters, before they soar.",0.280188,Somewhat-Bullish,0.08146,Somewhat-Bullish,0,broad,
SNOW,Alphabet Owns These 3 Software Stocks. Should You?,https://www.fool.com/investing/2022/12/18/alphabet-owns-these-three-software-stocks-should-y/,20221218T141200,Motley Fool,See what's in the tech giant's $2 billion investment portfolio.,0.230883,Somewhat-Bullish,0.363009,Somewhat-Bullish,0,broad,
SNOW,"Salesforce 'in the penalty box,' while Workday sidestepping headwinds, analyst says of cloud software space",https://www.marketwatch.com/story/salesforce-in-the-penalty-box-while-workday-sidestepping-headwinds-analyst-says-of-cloud-software-space-11671219832,20221216T194300,MarketWatch,Cloud software faces a rough and uncertain time ahead as corporate budgets gird for a feared recession ...,-0.022097,Neutral,0.129516,Somewhat-Bullish,0,focused,AI
SNOW,1 Warren Buffett Growth Stock Down 62% to Buy Right Now,https://www.fool.com/investing/2022/12/15/1-warren-buffett-growth-stock-down-62-to-buy-right/,20221215T124300,Motley Fool,This Buffett-backed tech company could be in the early stages of massive growth.,0.294855,Somewhat-Bullish,0.578674,Bullish,0,broad,
SNOW,Could Snowflake Stock Help You Become a Millionaire?,https://www.fool.com/investing/2022/12/15/could-snowflake-stock-help-you-become-a-millionair/,20221215T111900,Motley Fool,This cloud stock has massive growth prospects that could lead to solid gains in the long run.,0.275291,Somewhat-Bullish,0.626823,Bullish,0,focused,AI
SNOW,1 Warren Buffett Growth Stock to Buy Going Into 2023,https://www.fool.com/investing/2022/12/14/1-warren-buffett-growth-stock-to-buy-before-2023/,20221214T151500,Motley Fool,Investors are paying a premium for a quality company.,0.33503,Somewhat-Bullish,0.904419,Bullish,0,broad,
SNOW,Better Cloud Software Stock: Snowflake vs. Domo,https://www.fool.com/investing/2022/12/13/better-cloud-software-stock-snowflake-vs-domo/,20221213T145300,Motley Fool,Which silo-busting cloud play is a better long-term investment?,0.088968,Neutral,0.612521,Neutral,0,broad,
SNOW,3 Monster Growth Stocks to Buy in 2023 That Could Set You Up For Life,https://www.fool.com/investing/2022/12/11/3-monster-growth-stocks-buy-2023-could-set-up-life/,20221211T123000,Motley Fool,"Few companies will have the longevity to deliver strong returns for decades, but these three could be among them.",0.246098,Somewhat-Bullish,0.347437,Neutral,0,broad,
SNOW,2 Growth Stocks That Make the Perfect Holiday Gift for Your Future Self,https://www.fool.com/investing/2022/12/09/2-growth-stocks-that-make-the-perfect-holiday-gift/,20221209T210000,Motley Fool,CrowdStrike and Snowflake should power through near-term macro headwinds.,0.20381,Somewhat-Bullish,0.332323,Somewhat-Bullish,0,broad,
SNOW,2 Red-Hot Growth Stocks to Buy in 2022 and Beyond,https://www.fool.com/investing/2022/12/09/2-red-hot-growth-stocks-to-buy-in-2022-and-beyond/,20221209T113000,Motley Fool,"High-growth names haven't done well in 2022, but these stocks are still great buys.",0.22685,Somewhat-Bullish,0.301686,Somewhat-Bullish,0,broad,
SNOW,"Why Amazon, Nvidia, and Snowflake All Gained Ground Today",https://www.fool.com/investing/2022/12/08/why-amazon-nvidia-and-snowflake-all-gained-ground/,20221208T182215,Motley Fool,It's (still) the economy.,0.107282,Neutral,0.268786,Somewhat-Bullish,0,focused,AI
